"film","ceremony","name","winner","Year","Rating_IMDB","Oscarstat_totalnoms","Nom_Oscar_bestdirector","Rating_rtcritic","Nom_GoldenGlobe_bestdrama","Win_GoldenGlobe_bestdrama","genre"
"12 Years a Slave",86,"Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen and Anthony Katagas, Producers","True",2014,8.1,9,"1",96,1,1,"Biography"
"127 Hours",83,"Christian Colson, Danny Boyle and John Smithson, Producers","False",2011,7.6,5,"0",93,0,0,"Biography"
"A Beautiful Mind",74,"Brian Grazer and Ron Howard, Producers","True",2002,8.2,8,"1",75,1,1,"Biography"
"A Clockwork Orange",44,"Stanley Kubrick, Producer","False",1972,8.3,4,"1",90,1,0,"Crime"
"A Few Good Men",65,"David Brown, Rob Reiner and Andrew Scheinman, Producers","False",1993,7.6,4,"0",81,1,0,"Drama"
"A Man for All Seasons",39,"Fred Zinnemann, Producer","True",1967,7.9,8,"1",82,1,1,"Biography"
"A Passage to India",57,"John Brabourne and Richard Goodwin, Producers","False",1985,7.4,11,"1",85,0,0,"Drama"
"A Room with a View",59,"Ismail Merchant, Producer","False",1987,7.4,8,"1",100,1,0,"Drama"
"A Serious Man",82,"Joel Coen and Ethan Coen, Producers","False",2010,7,2,"0",89,0,0,"Comedy"
"A Soldier's Story",57,"Norman Jewison, Ronald L. Schwary and Patrick Palmer, Producers","False",1985,7.2,3,"0",89,1,0,"Crime"
"A Star Is Born",91,"Bill Gerber, Bradley Cooper and Lynette Howell Taylor, Producers","False",2019,8,7,"0",81,1,0,"Drama"
"A Thousand Clowns",38,"Fred Coe, Producer","False",1966,7.6,4,"0",69,0,0,"Comedy"
"A Touch of Class",46,"Melvin Frank, Producer","False",1974,6.5,4,"0",91,0,0,"Comedy"
"Airport",43,"Ross Hunter, Producer","False",1971,6.6,10,"0",80,1,0,"Action"
"Alfie",39,"Lewis Gilbert, Producer","False",1967,7.1,4,"0",100,0,0,"Comedy"
"All That Jazz",52,"Robert Alan Aurthur, Producer","False",1980,7.8,9,"1",85,0,0,"Comedy"
"All the President's Men",49,"Walter Coblenz, Producer","False",1977,8,8,"1",93,1,0,"Biography"
"Amadeus",57,"Saul Zaentz, Producer","True",1985,8.3,11,"1",95,1,1,"Biography"
"America America",36,"Elia Kazan, Producer","False",1964,7.9,4,"1",71,1,0,"Drama"
"American Beauty",72,"Bruce Cohen and Dan Jinks, Producers","True",2000,8.4,8,"1",88,1,1,"Drama"
"American Graffiti",46,"Francis Ford Coppola, Producer;  Gary Kurtz, Co-Producer","False",1974,7.5,5,"1",95,0,0,"Comedy"
"American Hustle",86,"Charles Roven, Richard Suckle, Megan Ellison and Jonathan Gordon, Producers","False",2014,7.3,10,"1",93,0,0,"Crime"
"American Sniper",87,"Clint Eastwood, Robert Lorenz, Andrew Lazar, Bradley Cooper and Peter Morgan, Producers","False",2015,7.3,6,"0",72,0,0,"Action"
"Amour",85,"Margaret Menegoz, Stefan Arndt, Veit Heiduschka and Michael Katz, Producers","False",2013,7.9,5,"1",93,0,0,"Drama"
"An Education",82,"Finola Dwyer and Amanda Posey, Producers","False",2010,7.3,3,"0",94,0,0,"Drama"
"An Unmarried Woman",51,"Paul Mazursky and Tony Ray, Producers","False",1979,7.2,3,"0",89,1,0,"Comedy"
"Anne of the Thousand Days",42,"Hal B. Wallis, Producer","False",1970,7.6,10,"0",42,1,1,"Biography"
"Annie Hall",50,"Charles H. Joffe, Producer","True",1978,8.1,5,"1",99,0,0,"Comedy"
"Apocalypse Now",52,"Francis Coppola, Producer;  Fred Roos, Gray Frederickson and Tom Sternberg, Co-Producers","False",1980,8.5,8,"1",97,1,0,"Drama"
"Apollo 13",68,"Brian Grazer, Producer","False",1996,7.6,9,"0",95,1,0,"Drama"
"Argo",85,"Grant Heslov, Ben Affleck and George Clooney, Producers","True",2013,7.7,7,"0",96,1,1,"Biography"
"Arrival",89,"Shawn Levy, Dan Levine, Aaron Ryder and David Linde, Producers","False",2017,8.1,8,"1",94,0,0,"Drama"
"As Good as It Gets",70,"James L. Brooks, Bridget Johnson and Kristi Zea, Producers","False",1998,7.7,7,"0",86,0,0,"Comedy"
"Atlantic City",54,"Denis Heroux and John Kemeny, Producers","False",1982,7.4,5,"1",100,0,0,"Crime"
"Atonement",80,"Tim Bevan, Eric Fellner and Paul Webster, Producers","False",2008,7.8,7,"0",83,1,1,"Drama"
